region,collection_week,group,counts,location_counts,percent
North America,2020-09-14,B.1.1.222,7,562,0.012455516014234875
North America,2020-09-14,B.1.1.239,1,562,0.0017793594306049821
North America,2020-09-14,B.1.1.251,8,562,0.014234875444839857
North America,2020-09-14,B.1.1.291,1,562,0.0017793594306049821
North America,2020-09-14,B.1.1.37,1,562,0.0017793594306049821
North America,2020-09-14,B.1.1.73,5,562,0.008896797153024912
North America,2020-09-14,B.1.110,1,562,0.0017793594306049821
North America,2020-09-14,B.1.139,36,562,0.06405693950177936
North America,2020-09-14,B.1.189,4,562,0.0071174377224199285
North America,2020-09-14,B.1.2,167,562,0.297153024911032
North America,2020-09-14,B.1.216,1,562,0.0017793594306049821
North America,2020-09-14,B.1.230,2,562,0.0035587188612099642
North America,2020-09-14,B.1.234,5,562,0.008896797153024912
North America,2020-09-14,B.1.239,3,562,0.005338078291814947
North America,2020-09-14,B.1.240,9,562,0.01601423487544484
North America,2020-09-14,B.1.243,27,562,0.04804270462633452
North America,2020-09-14,B.1.276,1,562,0.0017793594306049821
North America,2020-09-14,B.1.280,15,562,0.026690391459074734
North America,2020-09-14,B.1.3,24,562,0.042704626334519574
North America,2020-09-14,B.1.301,1,562,0.0017793594306049821
North America,2020-09-14,B.1.305,1,562,0.0017793594306049821
North America,2020-09-14,B.1.311,1,562,0.0017793594306049821
North America,2020-09-14,B.1.317,1,562,0.0017793594306049821
North America,2020-09-14,B.1.318,3,562,0.005338078291814947
North America,2020-09-14,B.1.332,1,562,0.0017793594306049821
North America,2020-09-14,B.1.337,3,562,0.005338078291814947
North America,2020-09-14,B.1.340,2,562,0.0035587188612099642
North America,2020-09-14,B.1.346,1,562,0.0017793594306049821
North America,2020-09-14,B.1.349,2,562,0.0035587188612099642
North America,2020-09-14,B.1.361,26,562,0.046263345195729534
North America,2020-09-14,B.1.363,4,562,0.0071174377224199285
North America,2020-09-14,B.1.369,65,562,0.11565836298932385
