lineage,sum_counts,Africa count,Asia count,Europe count,North America count,Oceania count,South America count,Africa freq,Asia freq,Europe freq,North America freq,Oceania freq,South America freq
B.1.1.353,1,1,0,0,0,0,0,0.11135857461024498,0.0,0.0,0.0,0.0,0.0
B.57,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.6.3,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.381,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.398,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.401,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
B.1.94,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
A.25,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.007883948281299274,0.0
C.4,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
C.30,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.4.6,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.007883948281299274,0.0
B.1.1.402,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.27,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.393,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.53,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
B.1.1.352,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.211,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.1.41,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.177.18,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.315,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.177.46,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.321,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.273224043715847
B.1.177.31,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.177.28,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.1.279,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.169,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.36.7,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.343,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.357,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.36.10,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
B.1.36.18,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
B.1.36.29,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
B.1.36.35,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
B.1.177.51,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.177.53,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.177.54,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.177.6,1,1,0,0,0,0,0,0.11135857461024498,0.0,0.0,0.0,0.0,0.0
B.1.177.8,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.177.81,1,1,0,0,0,0,0,0.11135857461024498,0.0,0.0,0.0,0.0,0.0
B.1.279,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.178,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.180,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.258.9,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.258.7,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.258.21,1,1,0,0,0,0,0,0.11135857461024498,0.0,0.0,0.0,0.0,0.0
B.1.192,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.194,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.235,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.27,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
B.1.219,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.36.36,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.203,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.273224043715847
B.1.6,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.007883948281299274,0.0
B.1.560,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.506,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.528,1,1,0,0,0,0,0,0.11135857461024498,0.0,0.0,0.0,0.0,0.0
B.1.533,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
B.1.547,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.319,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.557,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.1.117,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.160.20,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.563,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.46,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
AN.1,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
AE.8,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.595.2,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.596.1,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.312,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.482,1,1,0,0,0,0,0,0.11135857461024498,0.0,0.0,0.0,0.0,0.0
B.1.456,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
B.1.1.74,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.1.75,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.007883948281299274,0.0
B.1.445,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.432,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.297,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.1.294,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.424,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.12,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.406,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.134,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.16,1,0,0,1,0,0,0,0.0,0.0,0.01959247648902821,0.0,0.0,0.0
B.1.159,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
B.1.379,1,1,0,0,0,0,0,0.11135857461024498,0.0,0.0,0.0,0.0,0.0
B.1.1.177,1,0,0,0,1,0,0,0.0,0.0,0.0,0.002086854900978735,0.0,0.0
B.1.1.59,1,0,1,0,0,0,0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0
