region_pattern,country_pattern,division_pattern,location_pattern,out_region,out_country,out_division,out_location,comment
,China,Chongqinq,,,,Chongqing,,Fix Typos
,China,HuaShang,,,,Guangdong,,"Move HuaShang into Guangdong (province of submitting lab), can't find a location for this. The sequences are super short so these won't get displayed anyways"
,India,West_Bengal,,,,West Bengal,,Fix typos
,India,Telengana,,,,Telangana,,
,India,Rajsathan,,,,Rajasthan,,
,India,Jammu,,,,Jammu and Kashmir,Jammu,Move cities to provinces
,India,Kargil,,,,Ladakh,Kargil,
,India,Mumbai,,,,Maharashtra,Mumbai,
,India,MP,,,,Madhya Pradesh,,MP -> Madhya Pradesh
,India,Uttar_Pradesh,,,,Uttar Pradesh,,Fix typos
,India,Gujarat,Daskoi,,,,Daskroi,
,India,Karnataka,Bengaluru_Urban,,,,Bengaluru Urban,
,India,Telangana,Mahboobnagar,,,,Mahbubnagar,
,India,Telangana,Rangaraddy,,,,Rangareddy,
,India,Uttar Pradesh,LAKHIMPUR,,,,Lakhimpur,
,India,Uttarakhand,Pauri_Garhwal,,,,Pauri Garhwal,
,India,Uttarakhand,Tehri_Garhwal,,,,Tehri Garhwal,
,India,West Bengal,Hoogly,,,,Hooghly,
,ISRAEL,,,,Israel,,,Fix typos
,Israel,South Coast District|Southern District,,,,South District,,District names
,Israel,Central District|Central region,,,,Center District,,
,Israel,Northern District,,,,North District,,
,Israel,Tel Aviv,,,,Tel Aviv District,,
,Israel,ELAD|Elad,,,,Center District,El'ad,Move cities into districts
,Israel,Beerot-Itzhak,,,,Center District,Be'erot Yitzhak,
,Israel,GANI TIKVA|Gani Tikva,,,,Center District,Ganei Tikva,
,Israel,GEDERA|Gedera,,,,Center District,Gedera,
,Israel,KFAR-HABAD|Kfar-Habad,,,,Center District,Kfar Chabad,
,Israel,Lod,,,,Center District,Lod,
,Israel,Nir-Tzvi,,,,Center District,Nir-Tzvi,
,Israel,NETANYA|Netanya,,,,Center District,Netanya,
,Israel,Modiin,,,,Center District,Modi'in,
,Israel,PARDESIA|Pardesia,,,,Center District,Pardesia,
,Israel,PETAH-TIKVA|Petah-Tikva|Petach-Tikva,,,,Center District,Petah Tikva,
,Israel,RAANANA|Raanana,,,,Center District,Ra'anana,
,Israel,RAMLA|Ramla,,,,Center District,Ramla,
,Israel,Rishon-Letsion,,,,Center District,Rishon LeZion,
,Israel,Rishpon,,,,Center District,Rishpon,
,Israel,SHOAM|Shoam|Shoham,,,,Center District,Shoham,
,Israel,YAVNE|Yavne,,,,Center District,Yavne,
,Israel,YEHUD|Yehud,,,,Center District,Yehud,
,Israel,Kefar Sava|Kfar Saba,,,,Center District,Kfar Saba,
,Israel,HAIFA|Haifa,,,,Haifa District,Haifa,
,Israel,Ceasaria,,,,Haifa District,Caesarea,
,Israel,BEIT SHEMESH|Beit Shemesh,,,,Jerusalem District,Beit Shemesh,
,Israel,JERUSALEM|Jerusalem,,,,Jerusalem District,Jerusalem,
,Israel,ELKANA|Elkana,,,,Judea and Samaria Area,Elkana,
,Israel,Maale-Edumim,,,,Judea and Samaria Area,Ma'ale Adumim,
,Israel,Tkoa,,,,Judea and Samaria Area,Tekoa,
,Israel,HUKUK|Hukuk,,,,North District,Hukok,
,Israel,MAALOT-TARSHICHA|Maalot-Tarshicha,,,,North District,Ma'alot-Tarshiha,
,Israel,TIRAT ZVI|Tirat Zvi,,,,North District,Tirat Zvi,
,Israel,TVERIA|Tveria,,,,North District,Tiberias,
,Israel,ZEFAT|Tzfat|Zefat|Safed,,,,North District,Safed,
,Israel,Yuvalim,,,,North District,Yuvalim,
,Israel,ASHDOD|Ashdod,,,,South District,Ashdod,
,Israel,Beer-Sheva,,,,South District,Beer-Sheva,
,Israel,KIRYAT-GAT|Kiryat-Gat,,,,South District,Kiryat Gat,
,Israel,NETIVOT|Netivot,,,,South District,Netivot,
,Israel,Orot,,,,South District,Orot,
,Israel,Yeruham,,,,South District,Yeruham,
,Israel,BAT-YAM|Bat-Yam,,,,Tel Aviv District,Bat Yam,
,Israel,BENI-BRAK|Beni-Brak,,,,Tel Aviv District,Bnei Brak,
,Israel,HOLON|Holon,,,,Tel Aviv District,Holon,
,Israel,KIRYAT ONO|Kiryat Ono,,,,Tel Aviv District,Kiryat Ono,
,Israel,Or-Yehuda,,,,Tel Aviv District,Or Yehuda,
,Israel,RAMAT-GAN|Ramat Gan|Ramat-Gan,,,,Tel Aviv District,Ramat Gan,
,Israel,Ramat-Hasharon,,,,Tel Aviv District,Ramat HaSharon,
,Israel,TEL-AVIV|Tel-Aviv,,,,Tel Aviv District,Tel Aviv,
,Oman,Muscta|Musca,,,,Muscat,,Fix typos
,Oman,Buraymi,,,,Buraimi,,
,Pakistan,KPK,,,,Khyber Pakhtunkhwa,,Unabbreviate province names
,Korea|South korea,,,,South Korea,,,Korea --> South Korea. I assume North Korea is not submitting genomes...
,Sri Lanka,KK,,,,Kahanda Kanda,,Unabbreviate
,Taiwan,New Taipei city,,,,New Taipei City,,Fix typos
,Thailand,Phatum thani,,,,Pathum Thani,,Fix typos
,Vietnam,Quangning,,,,Quangninh,,Fix typos
,Vietnam,Thanh Hoa,,,,Thanhhoa,,
,Belgium,Antwerp|Antwerpen|Anvers|Berchem|Berendrech-Zandvliet-Lillo|Borgerhout|Deurne|Ekeren|Hoboken|Merksem|Wilrijk,,,,Antwerp,Antwerp,Move Belgian cities into provinces. Since it is getting out of hand. the list is too big. And merge towns into parent municipalities
,Belgium,Balen,,,,Antwerp,Balen,
,Belgium,Beerse|Vlimmeren,,,,Antwerp,Beerse,
,Belgium,Bonheiden,,,,Antwerp,Bonheiden,
,Belgium,Bornem|Hingene|Wintam|Mariekerke|Weert,,,,Antwerp,Bornem,
,Belgium,Brasschaat,,,,Antwerp,Brasschaat,
,Belgium,Edegem,,,,Antwerp,Edegem,
,Belgium,Grobbendonk|Bouwel,,,,Antwerp,Grobbendonk,
,Belgium,Hemisem|Hemiksem,,,,Antwerp,Hemiksem,
,Belgium,Herselt|Ramsel,,,,Antwerp,Herselt,
,Belgium,Laakdal|Laakdaal|Veerle|Eindhout|Vorst|Varendonk|Vorst-Meerlaar|Klein-Vorst,,,,Antwerp,Laakdal,
,Belgium,Lille|Gierle,,,,Antwerp,Lille,
,Belgium,Kalmthout,,,,Antwerp,Kalmthout,
,Belgium,Kasterlee,,,,Antwerp,Kasterlee,
,Belgium,Malle|Oostmalle|Westmalle,,,,Antwerp,Malle,
,Belgium,Nijlen|Bevel|Kessel,,,,Antwerp,Nijlen,
,Belgium,Mol,,,,Antwerp,Mol,
,Belgium,Olen|Olen-Centrum|Saint-Martins|Boekel|Onze-Lieve-Vrouw-Olen|Achter-Olen|St.-Jozef-Olen|Olen-Fabriek,,,,Antwerp,Olen,
,Belgium,Oud-Turnhout,,,,Antwerp,Oud-Turnhout,
,Belgium,Puurs|Breendonk|Liezele|Kalfort|Ruisbroek,,,,Antwerp,Puurs,
,Belgium,Ravels|Poppel|Weelde,,,,Antwerp,Ravels,
,Belgium,Ranst|Broechem|Emblem|Oelegem,,,,Antwerp,Ranst,
,Belgium,Retie|Rethy|Schoonbroek,,,,Antwerp,Retie,
,Belgium,Rijkevorsel|Achtel|Sint-Jozef-Rijkevorsel|Gammel,,,,Antwerp,Rijkevorsel,
,Belgium,Schoten,,,,Antwerp,Schoten,
,Belgium,Sint-Amands|Lippelo|Oppuurs,,,,Antwerp,Sint-Amands,
,Belgium,Turnhout,,,,Antwerp,Turnhout,
,Belgium,Vorselaar,,,,Antwerp,Vorselaar,
,Belgium,Oevel,,,,Antwerp,Westerlo,
,Belgium,Wijnegem,,,,Antwerp,Wijnegem,
,Belgium,Willebroek|Blaasveld|Heindonk|Tisselt|Klein Willebroek,,,,Antwerp,Willebroek,
,Belgium,Zoersel|Halle|St. Antonius,,,,Antwerp,Zoersel,
,Belgium,Flandre-Orientale,,,,East Flanders,,
,Belgium,Aalter|Lotenhulle,,,,East Flanders,Aalter,
,Belgium,Beveren|Doel|Haasdonk|Kallo|Kieldrecht|Melsele|Verrebroek|Vrasene|Beveren-Waas,,,,East Flanders,Beveren,
,Belgium,Buggenhout|Briel|Opdorp|Opstal,,,,East Flanders,Buggenhout,
,Belgium,Deinze,,,,East Flanders,Deinze,
,Belgium,Dendermonde,,,,East Flanders,Dendermonde,
,Belgium,Asper|Gavere,,,,East Flanders,Gavere,
,Belgium,Gent|Ghent|Afsnee|Desteldonk|Drongen|Gentbrugge|Ledeberg|Mariakerke|Mendonk|Oostakker|Sint-Amandsberg|Sint-Denijs-Westrem|Sint-Kruis-Winkel|Wondelgem|Zwijnaarde,,,,East Flanders,Ghent,
,Belgium,Geraardsbergen,,,,East Flanders,Geraardsbergen,
,Belgium,Hamme|Kastel-Moerzeke|St-Anna|Zogge,,,,East Flanders,Hamme,
,Belgium,Kruibeke|Bazel|Rupelmonde,,,,East Flanders,Kruibeke,
,Belgium,Laarne|Kalken,,,,East Flanders,Laarne,
,Belgium,Lievegem|Waarschoot|Lovendegem|Zomergem,,,,East Flanders,Lievegem,
,Belgium,Madegem,,,,East Flanders,Madegem,
,Belgium,Merelbeke|Bottelare|Lemberge|Melsen|Munte|Schelderode,,,,East Flanders,Merelbeke,
,Belgium,Nevele,,,,East Flanders,Nevele,
,Belgium,Oudenaarde|Bevere|Edelare|Eine|Ename|Herune|Leupegem|Mater|Melden|Mullem|Nederename|Volkegem|Welden|Ooike,,,,East Flanders,Oudenaarde,
,Belgium,Ronse,,,,East Flanders,Ronse,
,Belgium,Sint-Gillis-Waas,,,,East Flanders,Sint-Gillis-Waas,
,Belgium,Sint-Niklaas,,,,East Flanders,Sint-Niklaas,
,Belgium,Stekene,,,,East Flanders,Stekene,
,Belgium,Temse,,,,East Flanders,Temse,
,Belgium,Waasmunster,,,,East Flanders,Waasmunster,
,Belgium,Aarschot,,,,Flemish Brabant,Aarschot,
,Belgium,Asse,,,,Flemish Brabant,Asse,
,Belgium,Beersel,,,,Flemish Brabant,Beersel,
,Belgium,Bierbeek,,,,Flemish Brabant,Bierbeek,
,Belgium,Boutersem,,,,Flemish Brabant,Boutersem,
,Belgium,Diest|Kaggevinne|Molenstede,,,,Flemish Brabant,Diest,
,Belgium,Dilbeek,,,,Flemish Brabant,Dilbeek,
,Belgium,Geetbets,,,,Flemish Brabant,Geetbets,
,Belgium,Grimbergen,,,,Flemish Brabant,Grimbergen,
,Belgium,Haacht|Wespelaar,,,,Flemish Brabant,Haacht,
,Belgium,Winksele|Veltem-beisem|Veltem-Beisem,,,,Flemish Brabant,Herent,
,Belgium,Hoegaarden,,,,Flemish Brabant,Hoegaarden,
,Belgium,Holsbeek,,,,Flemish Brabant,Holsbeek,
,Belgium,Huldenberg,,,,Flemish Brabant,Huldenberg,
,Belgium,Kampenhout|Berg|Buken|Nederokkerzeel,,,,Flemish Brabant,Kampenhout,
,Belgium,Kortenaken|Hoeleden|Kersbeek-Miskom|Kersbeek-miskom|Ransberg|Waanrode,,,,Flemish Brabant,Kortenaken,
,Belgium,Kortenberg|Erps-Kwerps|Everberg|Meerbeek,,,,Flemish Brabant,Kortenberg,
,Belgium,Kraainem,,,,Flemish Brabant,Kraainem,
,Belgium,Landen|Attenhoven|Eliksem|Ezemaal|Laar|Neerlanden|Neerwinden|Overwinden|Rumsdorp|Waasmont|Walsbets|Walshoutem|Wange|Wezeren,,,,Flemish Brabant,Landen,
,Belgium,Leuven|Heverlee|Kessel-Lo|Ladeuze|Wilsele,,,,Flemish Brabant,Leuven,
,Belgium,Linter,,,,Flemish Brabant,Linter,
,Belgium,Lubbeek,,,,Flemish Brabant,Lubbeek,
,Belgium,Oud-Heverlee|Blanden|Haasrode|Sint-Joris-Weert|Vaalbeek,,,,Flemish Brabant,Oud-Heverlee,
,Belgium,Overijse,,,,Flemish Brabant,Overijse,
,Belgium,Machelen,,,,Flemish Brabant,Machelen,
,Belgium,Scherpenheuvel-Zichem|Scherpenheuvel-Zchem|Averbode|Messelbroek|Okselaar|Scherpenheuvel|Schoonderbuken|Keiberg|Testelt|Zichem,,,,Flemish Brabant,Scherpenheuvel-Zichem,
,Belgium,Sint-Genesius-Rode,,,,Flemish Brabant,Sint-Genesius-Rode,
,Belgium,Steenokkerzeel|Humelgem|Wambeek|Perk|Huinhoven|Boekt|Melsbroek,,,,Flemish Brabant,Steenokkerzeel,
,Belgium,Tervuren|Duisberg|Vossem|Moorsel,,,,Flemish Brabant,Tervuren,
,Belgium,Tielt-Winge,,,,Flemish Brabant,Tielt-Winge,
,Belgium,Tienen,,,,Flemish Brabant,Tienen,
,Belgium,Vilvoorde,,,,Flemish Brabant,Vilvoorde,
,Belgium,Wezembeek-Oppem,,,,Flemish Brabant,Wezembeek-Oppem,
,Belgium,Zaventem|Sterrebeek|Nossegem|Sint-Stevens-Woluwe,,,,Flemish Brabant,Zaventem,
,Belgium,Zoutleeuw,,,,Flemish Brabant,Zoutleeuw,
,Belgium,Alken,,,,Limburg,Alken,
,Belgium,Beringen|Koersel|Paal,,,,Limburg,Beringen,
,Belgium,Bilzen|Beverst|Eigenbilzen|Grote-Spouwen|Hees|Hoelbeek|Kleine-Spouwen|Martenslinde|Mopertinen|Munsterbilzen|Rijkhoven|Rosmeer|Waltwilder,,,,Limburg,Bilzen,
,Belgium,Bocholt|Kaulillecity|Reppel|Lozen|Kaulile,,,,Limburg,Bocholt,
,Belgium,Bree,,,,Limburg,Bree,
,Belgium,Genk,,,,Limburg,Genk,
,Belgium,Halen|Loksbergen|Zelem,,,,Limburg,Halen,
,Belgium,Hasselt|Sint-Lambrechts-Herk|Wimmertingen|Kermt|Spalbeek|Kuringen|Stokrooie|Stevoort|Runkst|Kiewit|Godsheide|Rapertingen,,,,Limburg,Hasselt,
,Belgium,Houthalen-Helchteren,,,,Limburg,Houthalen-Helchteren,
,Belgium,Lanaken,,,,Limburg,Lanaken,
,Belgium,Leopoldsburg|Heppen|Beverloo,,,,Limburg,Leopoldsburg,
,Belgium,Lommel,,,,Limburg,Lommel,
,Belgium,Lummen,,,,Limburg,Lummen,
,Belgium,Maaseik|Neeroeteren|Opoeteren|Aldeneik|Heppeneert|Wurfeld|'t Ven|Gremeslo|Berg|Schootsheide|Voorshoven|Waterloos|De Riet|Dorne,,,,Limburg,Maaseik,
,Belgium,Maasmechelen|Mechelen-aan-de-Maas|Vucht|Leut|Meeswijk|Uikhoven|Eisden|Opgrimbie|Boorsem|Kotem,,,,Limburg,Maasmechelen,
,Belgium,Neerpelt|Overpelt,,,,Limburg,Pelt,
,Belgium,Nieuwerkerken,,,,Limburg,Nieuwerkerken,
,Belgium,Peer|Grote-Brogel|Kleine-Brogel|Wauberg|Erpekom|Wijchmaal,,,,Limburg,Peer,
,Belgium,Riemst,,,,Limburg,Riemst,
,Belgium,Sint-Truiden,,,,Limburg,Sint-Truiden,
,Belgium,Tessenderlo,,,,Limburg,Tessenderlo,
,Belgium,Heusden-Zolder|Zolder,,,,Limburg,Heusden-Zolder,
,Belgium,Zonhoven,,,,Limburg,Zonhoven,
,Belgium,Avelgem,,,,West Flanders,Avelgem,
,Belgium,Anzegem,,,,West Flanders,Anzegem,
,Belgium,Blankenberge|Uitkerke,,,,West Flanders,Blankenberge,
,Belgium,Bruges|Brugge|Assebroek|Koolkerke|Sint-Andries|Sint-Michiels|Sint-Kruis|Dudzele|Lissewege|Sint-Jozef|Sint-Pieters,,,,West Flanders,Bruges,
,Belgium,Deerlijk,,,,West Flanders,Deerlijk,
,Belgium,Diksmuide|Beerst|Esen|Kaaskerke|Keiem|Lampernisse|Leke|Nieuwkapelle|Oostkerke|Oudakapelle|Pervijze|Sint-Jacobs-Kapelle|Stuivekenskerke|Vladslo|Woumen,,,,West Flanders,Diksmuide,
,Belgium,Harelbeke|Bavikhove|Hulste,,,,West Flanders,Harelbeke,
,Belgium,Knokke-Heist,,,,West Flanders,Knokke-Heist,
,Belgium,Kuurne,,,,West Flanders,Kuurne,
,Belgium,Lo-Reninge|Lo|Noordschote|Pollinkhove|Reninge,,,,West Flanders,Lo-Reninge,
,Belgium,Oostrozebeke,,,,West Flanders,Oostrozebeke,
,Belgium,Ostend|Oostende|Raversijde|Stene|Zandvoorde,,,,West Flanders,Ostend,
,Belgium,Oudenburg|Ettelgem|Roksem|Westkerke,,,,West Flanders,Oudenburg,
,Belgium,Poperinge|Krombeke|Proven|Reningelst|Roesbrugge-Haringe|Roesbrugge|Haringe|Watou|Sint-Jan-Ter-Biezen|Abele,,,,West Flanders,Poperinge,
,Belgium,Torhout|Wijnendale|Sint-Henricus|De Driekoningen,,,,West Flanders,Torhout,
,Belgium,Wervik|Geluwe,,,,West Flanders,Wervik,
,Belgium,Wevelgem,,,,West Flanders,Wevelgem,
,Belgium,Wingene|Zwevezele,,,,West Flanders,Wingene,
,Belgium,Ypres|Ieper|Boezinge|Brielen|Dikkebus|Elverdinge|Hollebekke|Sint-Jan-Vlamertinge|Vlamertinge|Voormezele|Zillebeke|Zuidschote,,,,West Flanders,Ypres,
,Belgium,Aiseau|Presles,,,,Hainaut,Aiseau-Presles,
,Belgium,Ath|Arbre,,,,Hainaut,Ath,
,Belgium,Bassilly,,,,Hainaut,Silly,
,Belgium,Quevaucamps|Wadelincourt|Basecles|Ramegnies|Thumaide|Aubechies|Ellignies-Sainte-Anne,,,,Hainaut,Belœil,
,Belgium,Bernissart|Blaton|Harchies|Pommeroeul|Poomerœul,,,,Hainaut,Bernissart,
,Belgium,Binche|Bray|Buvrinnes|Epinois|Leval-Trahegnies|Peronnes-lez-Binche|Ressaix|Waudrez,,,,Hainaut,Binche,
,Belgium,Boussu,,,,Hainaut,Boussu,
,Belgium,Brugelette|Cambron-Casteau|Attre|Mevergnies-lez-Lens|Gages,,,,Hainaut,Brugelette,
,Belgium,Braine-Le-Comte|Hennuyères|Henripont|Petit-Roeulx-lez-Braine|Ronquières|Steenkerque|Steenkerke,,,,Hainaut,Braine-Le-Comte,
,Belgium,Brunehaut|Bléharies|Guignies|Hollain|Jollain-Merlin|Wez-Velvain|Lesdain|Laplaigne|Rongy|Howardries,,,,Hainaut,Brunehaut,
,Belgium,Péruwelz|Bon-Secours|Roucourt|Braffe|Bury|Baugnies|Wasmes-Audemez-Briffoeil|Brasménil|Wiers,,,,Hainaut,Péruwelz,
,Belgium,Charleroi|Dampremy|Lodenlinsart|Gilly|Montignies-Sur-Sambre|Montignies-sur-sambre|Couillet|Marcinelle|Mont-sur-Marchienne|Marchienne-au-Pont|Monceau-sur-Sambre|Monceau-sur-sambre|Goutroux|Roux|Jumet|Gosselies|Ransart,,,,Hainaut,Charleroi,
,Belgium,Chatelet|Châtelet|Bouffioulx|Chatelineau,,,,Hainaut,Châtelet,
,Belgium,Colfontaine|Confontaine,,,,Hainaut,Colfontaine,
,Belgium,Cuesmes,,,,Hainaut,Cuesmes,
,Belgium,Dour,,,,Hainaut,Dour,
,Belgium,Ecaussinnes|Écaussinees|Écaussinees-d'Enghien|Marche-lez-Écaussinnes|Écaussinees-Lalaing,,,,Hainaut,Écaussinees,
,Belgium,Edingen,,,,Hainaut,Edingen,
,Belgium,Ellezelles,,,,Hainaut,Ellezelles,
,Belgium,Flobecq|Vloesberg,,,,Hainaut,Flobecq,
,Belgium,Fontaine-l Eveque|Forchies-la-marche,,,,Hainaut,Fontaine-l'Évêque,
,Belgium,Frameries,,,,Hainaut,Frameries,
,Belgium,Frasnes-lez-Anvaing|Arc|Ainières|Wattripont|Anvaing|Buissenal|Moustier|Oeudeghien|Ellignies|Dergneau|Saint-Sauveur|Hacquegnies|Herquegnies,,,,Hainaut,Frasnes-lez-Anvaing,
,Belgium,Haulchin,,,,Hainaut,Haulchin,
,Belgium,Hensies|Thulin,,,,Hainaut,Hensies,
,Belgium,Honnelles,,,,Hainaut,Honnelles,
,Belgium,Jurbise,,,,Hainaut,Jurbise,
,Belgium,Comines-Warneton|Komen|Comines|Comines-ten-Brielen|Houthem|Warneton|Waasten|Bas-Warneton|Neer-Waasten|Ploegsteert|Le Bizet,,,,Hainaut,Comines-Warneton,
,Belgium,Lens|Bauffe|Cambron-Saint-Vincent|Lombise|Montignies-lez-Lens,,,,Hainaut,Lens,
,Belgium,La Louvriere|La Louviere|La louvière|La Louvière|Haine-Saint-Paul|Haine-Saint-Pierre|Saint-Vaast|Trivieres|Boussoit|Houdeng-Aimeries|Houdeng-Gœgnies|Maurage|Strepy-Bracquegnies,,,,Hainaut,La Louvière,
,Belgium,Le roeulx,,,,Hainaut,Le Rœulx,
,Belgium,Les Bons Villers|Frasnes-lez-Gosselies|Mellet|Reves|Villers-Pierwin|Wayaux,,,,Hainaut,Les Bons Villers,
,Belgium,Lessines|Ghoy|Bois-de-Lessines|Lessenbos|Ogy|Oseke|Papignies|Papegem|Deux-Acren|Acren|Wannebecq|Wannabeek|Ollignies|Woelingen,,,,Hainaut,Lessines,
,Belgium,Merbes-le-Chateau|Merbes-le-Château|Fontaine-Valmont|Labuissiere|Merbes-Sainte-Marie,,,,Hainaut,Merbes-le-Château,
,Belgium,Mons|Mon|Courcelles|Havre|Jemappes|Trazegnies|Flénu|Ghlin|Shape,,,,Hainaut,Mons,
,Belgium,Montigny-le-Tilleul,,,,Hainaut,Montigny-le-Tilleul,
,Belgium,Morlanwelz,,,,Hainaut,Morlanwelz,
,Belgium,Mouscron|Dottignies|Dottenijs|Luingne|Lowingen|Herseaux|Herzeeuw,,,,Hainaut,Mouscron,
,Belgium,Pont-à-Celles|Buzet|Liberchies|Luttre|Obaix|Thimeon|Viesville,,,,Hainaut,Pont-à-Celles,
,Belgium,Quaregnon,,,,Hainaut,Quaregnon,
,Belgium,Quevy|Givry|Quévy,,,,Hainaut,Quevy,
,Belgium,Saint-Ghislain|Tertre|Villerot|Baudour|Neufmaison,,,,Hainaut,Saint-Ghislain,
,Belgium,Soignies|Casteau|Chaussee-Notre-Dame-Louvignies|Horrues|Neufvilles|Naast|Thieusies|Saisinne|Zinnik,,,,Hainaut,Soignies,
,Belgium,Seneffe,,,,Hainaut,Seneffe,
,Belgium,Tournai|Doornik|Ere|Saint-Maur|Orcq|Esplechin|Froyennes|Froidmont|Willemeau|Ramegnies-Chin|Templeuve|Chercq|Blandain|Hertain|Lamain|Marquain|Gaurain-Ramecroix|Havinnes|Beclers|Thimougnies|Barry|Maulde|Vaulx|Vezon|Kain|Melles|Quartes|Rumillies|Mont-Saint-Aubert|Mourcourt|Warchin,,,,Hainaut,Tournai,
,Belgium,Ans,,,,Liege,Ans,
,Belgium,Baelen|Membach,,,,Liege,Baelen,
,Belgium,Berloz,,,,Liege,Berloz,
,Belgium,Bierset,,,,Liege,Grâce-Hollogne,
,Belgium,Bullingen|Honsfeld|Hunningen|Murringen|Rocherath|Krinkelt|Wirtzfeld|Manderfeld|Afst|Allmuthen|Andlermuhle|Berterath|Buchholz|Eimerscheid|Hasenvenn|Hergersberg|Holzheim|Hullscheid|Igelmonder Hof|Igelmondermuhle|Kehr|Krewinkel|Lanzerath|Losheimergraben|Medendorf|Merlscheid|Weckerath,,,,Liege,Bullingen,
,Belgium,Burdinne|Hanneche|Lamontzee|Marneffe|Oteppe|Vissoul,,,,Liege,Burdinne,
,Belgium,Couthuin,,,,Liege,Heron,
,Belgium,Dalhem,,,,Liege,Dalhem,
,Belgium,Eupen,,,,Liege,Eupen,
,Belgium,Hannut|Abolens|Avernas-le-Bauduin|Avin|Bertrée|Blehen|Cras-Avernas|Crehen|Grand-Hallet|Les-Saint-Remy|Merdorp|Moxhe|Petit-Hallet|Poucet|Thisnes|Trognée|Truielingen|Villers-le-Peuplier|Wansin,,,,Liege,Hannut,
,Belgium,Henri-chapelle,,,,Liege,Welkenraedt,
,Belgium,Herstal,,,,Liege,Herstal,
,Belgium,Herve|Chaineux,,,,Liege,Herve,
,Belgium,Juprelle|Fexhe-Slins|Lantin|Paifve|Slins|Villers-Saint-Simeon|Voroux-lez-Liers|Voroux-les-Liers|Wihogne|Nudorp,,,,Liege,Juprelle,
,Belgium,Kelmis|La Calamine|Hergenrath|Neu-Moresnet|Vieille Montagne,,,,Liege,Kelmis,
,Belgium,Liege|Liège|Angleur|Bressoux|Chenee|Glain|Grivegnee|Jupille-sur-Meuse|Rocourt|Wandre,,,,Liege,Liège,
,Belgium,Limbourg,,,,Liege,Limbourg,
,Belgium,Remicourt|Momalle|Hodeige|Lamine|Pousset,,,,Liege,Remicourt,
,Belgium,Saive,,,,Liege,Blegny,
,Belgium,Seraing,,,,Liege,Seraing,
,Belgium,Soumagne,,,,Liege,Soumagne,
,Belgium,Sprimont|Dolembreux|Gomze-Andoumont|Rouvreux|Louveigne|Banneux|Damre|Florze|Lince|Ogne|Presseux|Rivage,,,,Liege,Sprimont,
,Belgium,Theux,,,,Liege,Theux,
,Belgium,Antheit|Wanze,,,,Liege,Wanze,
,Belgium,Yernee-fraineux,,,,Liege,Nandrin,
,Belgium,Andenne,,,,Namur,Andenne,
,Belgium,Ciney|Achene|Braibant|Chevetogne|Conneux|Leignon|Pessoux|Serinchamps|Sovet|Chapois,,,,Namur,Ciney,
,Belgium,Couvin,,,,Namur,Couvin,
,Belgium,Aisemont|Le Roux|Sart-Eustache|Sart-Saint-Laurent|Vitrival,,,,Namur,Fosses-la-Ville,
