lineage,count,freq
B.1.105,5,0.007241024749822595
B.1.465,5,0.007241024749822595
B.1.1.323,5,0.007241024749822595
B.1.1.305,5,0.007241024749822595
B.1.1.437,5,0.007241024749822595
B.1.1.218,5,0.007241024749822595
C.14,5,0.007241024749822595
A.12,5,0.007241024749822595
B.1.218,5,0.007241024749822595
B.37,5,0.007241024749822595
B.1.1.517,5,0.007241024749822595
B.1.1.403,5,0.007241024749822595
B.1.1.169,5,0.007241024749822595
B.1.36.38,5,0.007241024749822595
B.1.1.254,4,0.005792819799858076
B.1.1.461,4,0.005792819799858076
B.1.1.467,4,0.005792819799858076
B.1.1.274,4,0.005792819799858076
B.1.550,4,0.005792819799858076
B.1.1.459,4,0.005792819799858076
B.1.1.37,4,0.005792819799858076
B.42,4,0.005792819799858076
B.1.504,4,0.005792819799858076
B.1.1.232,4,0.005792819799858076
B.1.1.406,4,0.005792819799858076
B.1.1.433,4,0.005792819799858076
B.1.513,4,0.005792819799858076
B.1.164,4,0.005792819799858076
B.1.163,4,0.005792819799858076
B.1.350,4,0.005792819799858076
B.1.1.210,4,0.005792819799858076
B.1.601,4,0.005792819799858076
C.11,4,0.005792819799858076
B.1.160.26,4,0.005792819799858076
B.1.1.440,4,0.005792819799858076
B.1.1.356,4,0.005792819799858076
B.1.466.1,4,0.005792819799858076
B.1.487,4,0.005792819799858076
B.1.1.153,4,0.005792819799858076
B.1.495,4,0.005792819799858076
B.1.1.161,4,0.005792819799858076
B.1.1.335,4,0.005792819799858076
B.1.401,4,0.005792819799858076
B.1.405,4,0.005792819799858076
B.1.516,3,0.004344614849893557
B.1.9.4,3,0.004344614849893557
B.1.527,3,0.004344614849893557
B.1.499.1,3,0.004344614849893557
B.1.1.487,3,0.004344614849893557
B.1.1.263,3,0.004344614849893557
B.1.496,3,0.004344614849893557
B.1.497,3,0.004344614849893557
B.1.468,3,0.004344614849893557
B.1.473,3,0.004344614849893557
B.1.597,3,0.004344614849893557
B.1.467,3,0.004344614849893557
B.1.160.11,3,0.004344614849893557
C.37,3,0.004344614849893557
B.1.1.230,3,0.004344614849893557
B.1.1.428,3,0.004344614849893557
B.1.333,3,0.004344614849893557
B.1.177.26,3,0.004344614849893557
B.1.177.60,3,0.004344614849893557
B.1.585,3,0.004344614849893557
B.1.581,3,0.004344614849893557
A.21,3,0.004344614849893557
